flight_direction,waypoint_id,latitude,longitude,altitude,phase,distance_to_next_meters,altitude_difference,vertical_velocity,horizontal_velocity,time_to_complete,destination_heading_radians,is_first_last_time,energy_consumption
SFO_SJC,SFO_FATO,37.620421,-122.395884,0,HOVER CLIMB,0.0,15.0,1.5,0.0,10.0,0.0,False,1.054559089955487
SFO_SJC,SFO_hover_fix,37.620421,-122.395884,15,CLIMB TRANSITION,1469.08,90.0,1.5,48.96933333333333,60.0,2.6918404956810247,True,3.894426141956078
SFO_SJC,SFO_departure_fix,37.60851541756432,-122.3886291231352,105,CLIMB,6356.01,345.0,2.875,52.966750000000005,120.0,2.1682417200828943,False,4.5641839205156955
SFO_SJC,SFO_SJC_waypoint_1,37.57632532094604,-122.3289616620529,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720083332,False,0.4935246100705233
SFO_SJC,SFO_SJC_waypoint_2,37.56804492914644,-122.31360953834906,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082725,False,0.4935246100705233
SFO_SJC,SFO_SJC_waypoint_3,37.55976453764404,-122.29825912094644,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.1682417200830013,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_4,37.5514841464388,-122.2829104091452,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.1682417200829303,False,0.4935246100705231
SFO_SJC,SFO_SJC_waypoint_5,37.54320375553063,-122.26756340224578,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082723,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_6,37.53492336491946,-122.25221809954895,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082949,False,0.4935246100705233
SFO_SJC,SFO_SJC_waypoint_7,37.52664297460525,-122.2368745003558,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720083293,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_8,37.51836258458792,-122.2215326039677,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082675,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_9,37.5100821948674,-122.20619240968628,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082692,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_10,37.50180180544364,-122.19085391681354,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.1682417200828743,False,0.4935246100705233
SFO_SJC,SFO_SJC_waypoint_11,37.49352141631655,-122.17551712465172,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082923,False,0.4935246100705232
SFO_SJC,SFO_SJC_waypoint_12,37.48524102748608,-122.16018203250349,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720083154,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_13,37.47696063895216,-122.14484863967164,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.1682417200825728,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_14,37.468680250714726,-122.12951694545944,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.1682417200823934,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_15,37.46039986277373,-122.11418694917032,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082055,False,0.4935246100705231
SFO_SJC,SFO_SJC_waypoint_16,37.45211947512908,-122.09885865010808,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.1682417200826603,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_17,37.44383908778072,-122.08353204757684,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720083184,False,0.4935246100705233
SFO_SJC,SFO_SJC_waypoint_18,37.43555870072856,-122.068207140881,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082962,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_19,37.427278313972586,-122.05288392932522,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.1682417200828805,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_20,37.41899792751269,-122.03756241221454,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082823,False,0.4935246100705233
SFO_SJC,SFO_SJC_waypoint_21,37.41071754134882,-122.02224258885424,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082794,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_22,37.40243715548092,-122.00692445854992,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082813,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_23,37.3941567699089,-121.99160802060749,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082416,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_24,37.38587638463273,-121.97629327433316,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.1682417200828845,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_25,37.37759599965232,-121.96098021903344,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082819,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_26,37.3693156149676,-121.94566885401512,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082316,False,0.4935246100705231
