flight_direction,waypoint_id,latitude,longitude,altitude,phase,distance_to_next_meters,altitude_difference,vertical_velocity,horizontal_velocity,time_to_complete
SFO_SJC,SFO_SJC_waypoint_36,37.312334739063694,-121.83222969679377,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_37,37.30410845346935,-121.81701739614363,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_38,37.295882168164916,-121.80180675925405,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_39,37.287655883150336,-121.78659778544761,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_40,37.27942959842554,-121.77139047404715,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_41,37.27120331399047,-121.75618482437586,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_42,37.26297702984507,-121.74098083575714,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_43,37.254750745989256,-121.72577850751476,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_44,37.246524462422975,-121.7105778389727,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_45,37.23829817914618,-121.69537882945531,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_46,37.23007189615879,-121.68018147828717,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_47,37.22184561346075,-121.66498578479317,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_48,37.21361933105197,-121.6497917482985,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_49,37.205393048932436,-121.6345993681286,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_50,37.19716676710205,-121.61940864360925,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
SFO_SJC,SFO_SJC_waypoint_51,37.18894048556074,-121.60421957406649,450,CRUISE,1625.9,0,0.0,67.0,24.26716417910448
