flight_direction,waypoint_id,latitude,longitude,altitude,phase,distance_to_next_meters,altitude_difference,vertical_velocity,horizontal_velocity,time_to_complete,destination_heading_radians
SFO_SJC,SFO_FATO,37.620421,-122.395884,0,HOVER CLIMB,0.0,15,1.5,0.0,10.0,0.0
SFO_SJC,SFO_hover_fix,37.620421,-122.395884,15,CLIMB TRANSITION,1469.08,90,1.5,48.96933333333333,60.0,2.7973472613024795
SFO_SJC,SFO_departure_fix,37.607976452412395,-122.39025214748611,105,CLIMB,6356.01,345,2.875,52.966750000000005,120.0,2.2737484857051133
SFO_SJC,SFO_SJC_waypoint_1,37.57098745021063,-122.33519577621496,450,CRUISE,1635.38,0,0.0,79.71,20.516622757495927,2.2737484857046875
SFO_SJC,SFO_SJC_waypoint_2,37.56147271900965,-122.32103172109882,450,CRUISE,1635.38,0,0.0,79.71,20.516622757495927,2.273748485705308
SFO_SJC,SFO_SJC_waypoint_3,37.55195798809936,-122.3068694744228,450,CRUISE,1635.38,0,0.0,79.71,20.516622757495927,2.273748485705389
SFO_SJC,SFO_SJC_waypoint_4,37.54244325747969,-122.29270903533461,450,CRUISE,1635.38,0,0.0,79.71,20.516622757495927,2.2737484857048313
SFO_SJC,SFO_SJC_waypoint_5,37.53292852715057,-122.27855040298246,450,CRUISE,1635.38,0,0.0,79.71,20.516622757495927,2.2737484857049237
SFO_SJC,SFO_SJC_waypoint_6,37.52341379711193,-122.26439357651495,450,CRUISE,1635.38,0,0.0,79.71,20.516622757495927,2.2737484857054606
SFO_SJC,SFO_SJC_waypoint_7,37.513899067363674,-122.2502385550811,450,CRUISE,1635.38,0,0.0,79.71,20.516622757495927,2.2737484857051173
SFO_SJC,SFO_SJC_waypoint_8,37.504384337905755,-122.23608533783037,450,CRUISE,1635.38,0,0.0,79.71,20.516622757495927,2.273748485704764
SFO_SJC,SFO_SJC_waypoint_9,37.4948696087381,-122.22193392391266,450,CRUISE,1635.38,0,0.0,79.71,20.516622757495927,2.273748485705177
SFO_SJC,SFO_SJC_waypoint_10,37.485354879860616,-122.20778431247825,450,CRUISE,1635.38,0,0.0,79.71,20.516622757495927,2.273748485704775
SFO_SJC,SFO_SJC_waypoint_11,37.47584015127323,-122.19363650267788,450,CRUISE,1647.29,0,0.0,79.71,20.666039392798897,2.302759910058638
SFO_SJC,SFO_SJC_waypoint_12,37.46593219193246,-122.1797438502342,450,DESCENT,6356.01,-345,2.875,52.966750000000005,120.0,2.2731650391281746
SFO_SJC,SJC_approach_fix,37.42896870909571,-122.12476493719115,105,DESCENT TRANSITION,1469.08,-90,1.5,48.96933333333333,60.0,1.7499759538413748
SFO_SJC,SJC_hover_fix,37.426611473966304,-122.10838432164128,15,HOVER DESCENT,0.0,-15,1.5,0.0,10.0,0.0
SFO_SJC,SJC_FATO,37.426611473966304,-122.10838432164128,0,END,0.0,,,,,
SJC_SFO,SJC_FATO,37.426611473966304,-122.10838432164128,0,HOVER CLIMB,0.0,15,1.5,0.0,10.0,0.0
SJC_SFO,SJC_hover_fix,37.426611473966304,-122.10838432164128,15,CLIMB TRANSITION,1469.08,90,1.5,48.96933333333333,60.0,5.941996209775014
SJC_SFO,SJC_departure_fix,37.439069334762124,-122.11395551043124,105,CLIMB,6356.01,345,2.875,52.966750000000005,120.0,5.418397434176768
SJC_SFO,SJC_SFO_waypoint_1,37.476166075358805,-122.16879929386864,450,CRUISE,1634.98,0,0.0,79.71,20.51160456655376,5.418397434176334
SJC_SFO,SJC_SFO_waypoint_2,37.48571101105255,-122.18290874238106,450,CRUISE,1634.98,0,0.0,79.71,20.51160456655376,5.4183974341767485
SJC_SFO,SJC_SFO_waypoint_3,37.49525594645685,-122.19701999399122,450,CRUISE,1634.98,0,0.0,79.71,20.51160456655376,5.418397434177101
SJC_SFO,SJC_SFO_waypoint_4,37.50480088157163,-122.2111330495517,450,CRUISE,1634.98,0,0.0,79.71,20.51160456655376,5.418397434176543
SJC_SFO,SJC_SFO_waypoint_5,37.51434581639682,-122.2252479099155,450,CRUISE,1634.98,0,0.0,79.71,20.51160456655376,5.418397434176209
SJC_SFO,SJC_SFO_waypoint_6,37.52389075093231,-122.23936457593602,450,CRUISE,1634.98,0,0.0,79.71,20.51160456655376,5.418397434177481
SJC_SFO,SJC_SFO_waypoint_7,37.53343568517807,-122.25348304846713,450,CRUISE,1634.98,0,0.0,79.71,20.51160456655376,5.418397434176281
SJC_SFO,SJC_SFO_waypoint_8,37.542980619134006,-122.26760332836315,450,CRUISE,1634.98,0,0.0,79.71,20.51160456655376,5.4183974341767795
SJC_SFO,SJC_SFO_waypoint_9,37.55252555280005,-122.28172541647875,450,CRUISE,1634.98,0,0.0,79.71,20.51160456655376,5.418397434176405
SJC_SFO,SJC_SFO_waypoint_10,37.562070486176125,-122.2958493136691,450,CRUISE,1634.98,0,0.0,79.71,20.51160456655376,5.41839743417658
SJC_SFO,SJC_SFO_waypoint_11,37.57161541926215,-122.30997502078976,450,CRUISE,1646.87,0,0.0,79.71,20.66077029230962,5.389476650142272
SJC_SFO,SJC_SFO_waypoint_12,37.58089961604892,-122.32455015676746,450,DESCENT,6356.01,-345,2.875,52.966750000000005,120.0,5.41898228144725
SJC_SFO,SFO_approach_fix,37.61802175300774,-122.37947099932327,105,DESCENT TRANSITION,1469.08,-90,1.5,48.96933333333333,60.0,4.894973517442686
SJC_SFO,SFO_hover_fix,37.620421,-122.395884,15,HOVER DESCENT,0.0,-15,1.5,0.0,10.0,0.0
SJC_SFO,SFO_FATO,37.620421,-122.395884,0,END,0.0,,,,,
